date,home_team,away_team,country,country_full_home,country_full_away,neutral,rank_diff,point_diff,point_increase_home,point_increase_away,score_diff,home_won,lati_cn_home,long_cn_home,lati_cn_away,long_cn_away,rest_days
1993-05-28,Yemen,China PR,Jordan,Yemen,China PR,1,59.0,-20.0,6.0,26.0,1.0,1,15.032436999999998,12.277974,5.276496000000002,67.95698300000001,2.0
1993-05-29,Poland,England,Poland,Poland,England,0,15.0,-9.0,46.0,55.0,0.0,0,0.0,0.0,0.4360619999999997,20.319436,14.0
1993-05-30,Iraq,China PR,Jordan,Iraq,China PR,1,26.0,-11.0,15.0,26.0,1.0,1,2.638027000000001,7.440877,5.276496000000002,67.95698300000001,14.0
1993-05-30,Jordan,Pakistan,Jordan,Jordan,Pakistan,0,-35.0,7.0,8.0,1.0,2.0,1,0.0,0.0,0.2098429999999993,33.106702000000006,4.0
1993-05-30,New Zealand,Australia,New Zealand,New Zealand,Australia,0,25.0,-7.0,22.0,29.0,-1.0,-1,0.0,0.0,15.626158999999998,41.11083500000001,14.0
1993-06-02,Denmark,Albania,Denmark,Denmark,Albania,0,-77.0,38.0,52.0,14.0,4.0,1,0.0,0.0,15.110588,10.666546,14.0
1993-06-02,Iceland,Russia,Iceland,Iceland,Russia,0,38.0,-23.0,29.0,52.0,0.0,0,0.0,0.0,3.439040999999996,124.339591,14.0
1993-06-02,Latvia,Northern Ireland,Latvia,Latvia,Northern Ireland,0,56.0,-21.0,10.0,31.0,-1.0,-1,0.0,0.0,2.0919349999999994,31.095489,14.0
1993-06-02,Lithuania,Spain,Lithuania,Lithuania,Spain,0,78.0,-37.0,12.0,49.0,-2.0,-1,0.0,0.0,14.705771,27.630495,8.0
1993-06-02,Norway,England,Norway,Norway,England,0,9.0,-6.0,49.0,55.0,2.0,1,0.0,0.0,8.116523999999998,9.643246,14.0
1993-06-02,Scotland,Estonia,Scotland,Scotland,Estonia,0,-109.0,40.0,43.0,3.0,2.0,1,0.0,0.0,2.104572000000005,29.216207,14.0
1993-06-02,Sweden,Israel,Sweden,Sweden,Israel,0,-60.0,33.0,56.0,23.0,5.0,1,0.0,0.0,29.08211,16.208111000000002,14.0
1993-06-06,Australia,New Zealand,Australia,Australia,New Zealand,0,-25.0,7.0,29.0,22.0,3.0,1,0.0,0.0,15.626158999999998,41.11083500000001,14.0
1993-06-06,Faroe Islands,Wales,Faroe Islands,Faroe Islands,Wales,0,66.0,-28.0,12.0,40.0,-3.0,-1,0.0,0.0,9.761935,3.1281060000000003,14.0
1993-06-07,India,Bahrain,South Korea,India,Bahrain,1,55.0,-11.0,2.0,13.0,-3.0,-1,15.314072999999995,48.804042,9.977342999999998,77.12915,14.0
1993-06-09,Latvia,Republic of Ireland,Latvia,Latvia,Republic of Ireland,0,93.0,-44.0,10.0,54.0,-2.0,-1,0.0,0.0,3.466725000000004,32.847079,7.0
1993-06-09,Netherlands,Norway,Netherlands,Netherlands,Norway,0,-7.0,5.0,54.0,49.0,0.0,0,0.0,0.0,8.339390999999999,3.1776800000000005,14.0
1993-06-11,Bahrain,Hong Kong,South Korea,Bahrain,Hong Kong,1,-31.0,8.0,13.0,5.0,3.0,1,9.977342999999998,77.12915,13.511328999999996,13.65742499999999,14.0
1993-06-12,China PR,Pakistan,China PR,China PR,Pakistan,0,-89.0,25.0,26.0,1.0,3.0,1,0.0,0.0,5.486339000000001,34.850280999999995,14.0
1993-06-12,Yemen,Jordan,China PR,Yemen,Jordan,1,5.0,-2.0,6.0,8.0,0.0,0,20.308933,55.679009,5.276496000000002,67.95698300000001,14.0
1993-06-13,Hong Kong,India,South Korea,Hong Kong,India,1,-24.0,3.0,5.0,2.0,-2.0,-1,13.511328999999996,13.65742499999999,15.314072999999995,48.804042,14.0
1993-06-14,Iraq,Jordan,China PR,Iraq,Jordan,1,-28.0,7.0,15.0,8.0,4.0,1,2.6384690000000006,60.516106,5.276496000000002,67.95698300000001,14.0
1993-06-14,Pakistan,Yemen,China PR,Pakistan,Yemen,1,30.0,-5.0,1.0,6.0,-3.0,-1,5.486339000000001,34.850280999999995,20.308933,55.679009,14.0
